RANGE,ELEVATION,DELTA_EL,"3,9","2,4,8,10","1,5,7,11",MAP,ESTIMATED,WIDTH,LENGTH,TIME
0,0,5,0,0,0,0,0,1,150,0
500,5,0.8,2,1,1,1,1,1,110,0.77
550,5.8,0.8,2,2,1,1,1,1,105,0.88
600,6.6,0.9,2,2,1,1,1,1,100,0.99
650,7.5,1,2,2,1,1,1,1,95,1.11
700,8.5,1,3,2,1,1,3,1,90,1.23
750,9.5,1.1,3,3,1,1,3,2,85,1.36
800,10.6,1.2,3,3,2,1,3,2,85,1.5
850,11.8,1.3,3,3,2,1,3,2,80,1.64
900,13.1,1.4,4,3,2,1,3,2,80,1.79
950,14.5,1.5,4,4,2,1,3,2,75,1.94
1000,16,1.6,4,4,2,1,3,2,75,2.1
1050,17.6,1.7,5,4,2,1,3,2,70,2.26
1100,19.2,1.7,5,4,2,1,5,2,70,2.43
1150,21,1.8,5,4,3,1,5,2,65,2.6
1200,22.8,1.9,5,5,3,3,5,3,65,2.77
1250,24.7,2,5,5,3,3,5,3,60,2.95
1300,26.7,2,6,5,3,3,5,3,60,3.13
1350,28.7,2.1,6,5,3,3,5,3,60,3.31
1400,30.8,2.2,6,5,3,3,7,3,55,3.5
1450,33,2.2,6,5,3,3,7,3,55,3.69
1500,35.2,2.3,6,6,3,3,7,3,55,3.89
1550,37.5,2.5,7,6,3,3,7,3,55,4.09
1600,40,2.5,7,6,3,3,7,4,50,4.29
1650,42.5,2.6,7,6,4,3,7,4,50,4.5
1700,45.1,2.6,7,6,4,5,7,4,50,4.71
1750,47.7,2.7,7,6,4,5,7,4,50,4.92
1800,50.4,2.8,8,7,4,5,7,4,50,5.13
